key,_id,GPS.latitude,GPS.longitude,city,name,type,address,department
200,61b0ca15f6a0af503300012c,57.227222,29.161111,Vybor,NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD (RETAIL PHARMACY),pharmacy,9 Monica Drive,
201,61b0ca15f6a0af503300012d,-34.6381227,-58.3787726,Brandsen,Community Wellness Clinic Queenstown Pharmacy,pharmacy,5 Forest Run Plaza,
202,61b0ca15f6a0af503300012e,42.3890735,47.9897691,Novokayakent,NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD (RETAIL PHARMACY),pharmacy,654 Talmadge Street,
203,61b0ca15f6a0af503300012f,33.5760112,130.6627355,Hiratsuka,Samuel Simmonds Memorial Hospital,hospital,4709 Coleman Parkway,8
204,61b0ca15f6a0af5033000130,39.0327543,-76.5517132,Annapolis,St Vincent's St Clair,hospital,4088 Tennyson Court,7
205,61b0ca15f6a0af5033000131,29.606391,112.320413,Tuanshansi,National University Hospital - Kent Ridge Wing Pharmacy,pharmacy,761 Monica Road,
206,61b0ca15f6a0af5033000132,21.4674584,-71.1389101,Cockburn Town,Yavapai Regional Medical Center,hospital,606 Upham Drive,1
207,61b0ca15f6a0af5033000133,39.91983,116.41571,Sihe,COVID CENTER 54,specialized center,8 Prentice Point,
208,61b0ca15f6a0af5033000134,10.752961,122.49448,Abilay,Tucson Medical Center,hospital,35 Steensland Alley,1
209,61b0ca15f6a0af5033000135,-24.7762704,25.4141193,Mosopa,D C H Regional Medical Center,hospital,2 Merrick Road,10
210,61b0ca15f6a0af5033000136,37.646108,120.477813,Fengkou,Alaska Regional Hospital,hospital,8477 Rutledge Point,5
211,61b0ca15f6a0af5033000137,40.8153071,21.39509,Próti,Alchemy Pharmacy,pharmacy,1765 Namekagon Lane,
212,61b0ca15f6a0af5033000138,40.04,-76.31,Lancaster,Medical West,hospital,3816 Hooker Center,2
213,61b0ca15f6a0af5033000139,20.2258318,-74.1533563,Maisí,COVID CENTER 22,specialized center,92892 Spenser Crossing,
214,61b0ca15f6a0af503300013a,-33.326671,-60.2336692,Viale,Monroe County Hospital,hospital,859 Holy Cross Way,9
215,61b0ca15f6a0af503300013b,21.270702,110.359368,Zhangyang,COVID CENTER 47,specialized center,8 Sherman Pass,
216,61b0ca15f6a0af503300013c,59.3938804,15.8607653,Kungsör,Canyon Vista Medical Center,hospital,45451 Arkansas Way,6
217,61b0ca15f6a0af503300013d,12.1299094,7.6724456,Musawa,J Paul Jones Hospital,hospital,0581 Reindahl Terrace,7
218,61b0ca15f6a0af503300013e,14.6741293,120.5112907,Cabog,COVID CENTER 57,specialized center,3 Springview Parkway,
219,61b0ca15f6a0af503300013f,-8.3434104,118.9819731,Oitui,Flagstaff Medical Center,hospital,175 Loeprich Plaza,4
220,61b0ca15f6a0af5033000140,1.1322476,104.0115689,Wairiang,Prattville Baptist Hospital,hospital,19 Arizona Street,5
221,61b0ca16f6a0af5033000141,47.9195813,106.9211984,Nart,Tanner Medical Center-east Alabama,hospital,820 Calypso Trail,8
222,61b0ca16f6a0af5033000142,50.9422707,37.8024687,Chernyanka,COVID CENTER 40,specialized center,92 Warrior Road,
223,61b0ca16f6a0af5033000143,42.239717,27.776119,Kiten,Bullock County Hospital,hospital,31032 Golden Leaf Drive,9
224,61b0ca16f6a0af5033000144,60.5848255,27.7095936,Virojoki,COVID CENTER 48,specialized center,81537 Arizona Street,
225,61b0ca16f6a0af5033000145,35.910325,14.424426,Mosta,COVID CENTER 47,specialized center,43732 Cottonwood Circle,
226,61b0ca16f6a0af5033000146,50.9076315,128.4136847,Belogorsk,NHG Pharmacy (CCK Polyclinic),pharmacy,4256 Northland Court,
227,61b0ca16f6a0af5033000147,-6.8852308,106.9007656,Panineungan,Farrer Park Pharmacy,pharmacy,858 Clemons Hill,
228,61b0ca16f6a0af5033000148,26.085391,119.583599,Langchi,Bartlett Regional Hospital,hospital,773 Kingsford Place,8
229,61b0ca16f6a0af5033000149,-8.4019855,114.3163148,Bagorejo,Airport Pharmacy,pharmacy,751 Schurz Park,
230,61b0ca16f6a0af503300014a,-31.4561755,-64.2111608,Palpalá,Russell Medical Center,hospital,1002 Elka Alley,4
231,61b0ca16f6a0af503300014b,-1.0616193,-46.7830109,Bragança,COVID CENTER 56,specialized center,08 Bartillon Junction,
232,61b0ca15f6a0af5026000147,13.2805504,-87.1285725,El Puente,SMITH PHARMACY PTE LTD,pharmacy,28 Butterfield Hill,
233,61b0ca15f6a0af5026000148,56.5614229,52.9958953,Malaya Purga,NHG Pharmacy (CCK Polyclinic),pharmacy,198 Forster Point,
234,61b0ca15f6a0af5026000149,59.0572129,12.6642819,Bengtsfors,Walker Baptist Medical Center,hospital,2 Tennessee Plaza,10
235,61b0ca15f6a0af502600014a,53.6785169,-7.2979911,Castlepollard,Dekalb Regional Medical Center,hospital,9073 Shasta Road,10
236,61b0ca15f6a0af502600014b,-7.3559,107.8034,Padasono,COVID CENTER 1,specialized center,2712 Lunder Crossing,
237,61b0ca15f6a0af502600014c,-1.4923925,-78.0024134,Puyo,Princeton Baptist Medical Center,hospital,623 Hallows Avenue,3
238,61b0ca15f6a0af502600014d,-32.9127799,17.9946667,Vredenburg,Providence Kodiak Island Medical Ctr,hospital,4 Homewood Terrace,9
239,61b0ca15f6a0af502600014e,15.552727,48.516388,Bi’r Ḩāt,Singapore General Hospital Pharmacy,pharmacy,466 Grayhawk Avenue,
240,61b0ca15f6a0af502600014f,-8.3202794,111.6362619,Bendoroto,North Baldwin Infirmary,hospital,975 Tennessee Terrace,6
241,61b0ca15f6a0af5026000150,59.3573204,16.4823589,Eskilstuna,COVID CENTER 39,specialized center,7 Esch Court,
242,61b0ca15f6a0af5026000151,22.948016,113.366904,Shiqiao,ALPS PHARMACY,pharmacy,8 Reinke Drive,
243,61b0ca15f6a0af5026000152,42.8414484,21.5766407,Medveđa,Providence Alaska Medical Center,hospital,630 Bunker Hill Avenue,4
244,61b0ca15f6a0af5026000153,50.6749519,113.5905613,Dul’durga,COVID CENTER 27,specialized center,5547 Anderson Terrace,
245,61b0ca15f6a0af5026000154,40.846108,14.2352339,Napoli,SGH OUTPATIENT PHARMACY (BLK 3),pharmacy,1998 Old Shore Street,
246,61b0ca15f6a0af5026000155,-7.2652612,109.3575011,Palumbungan,Stringfellow Memorial Hospital,hospital,477 Fallview Plaza,3
247,61b0ca15f6a0af5026000156,8.475987,47.3657603,Laascaanood,Jack Hughston Memorial Hospital,hospital,096 Schiller Center,10
248,61b0ca15f6a0af5026000157,45.3180513,42.846668,Svetlograd,COVID CENTER 55,specialized center,275 Waubesa Point,
249,61b0ca15f6a0af5026000158,42.362461,20.8319248,Suva Reka,COVID CENTER 26,specialized center,610 Sauthoff Court,
250,61b0ca15f6a0af5026000159,-4.3695455,15.3950939,Masina,Cullman Regional Medical Center,hospital,47093 Commercial Plaza,5
251,61b0ca15f6a0af502600015a,-28.8953831,27.9073244,Maputsoe,COVID CENTER 29,specialized center,3 North Court,
252,61b0ca15f6a0af502600015b,7.9632405,123.8751554,Tubod,COVID CENTER 57,specialized center,703 Melby Place,
253,61b0ca15f6a0af502600015c,2.7991084,44.0793911,Buur Gaabo,Marion Regional Medical Center,hospital,0854 Manley Hill,10
254,61b0ca15f6a0af502600015d,1.504786,103.82287,Permas,Pharmacy A Changi General Hospital,pharmacy,6031 Tennyson Avenue,
255,61b0ca15f6a0af502600015e,14.7342524,121.0702642,Esperanza,COVID CENTER 19,specialized center,44648 Calypso Center,
256,61b0ca15f6a0af502600015f,-10.5971,121.8889,Parajara,SGH Retail Pharmacy (Blk 4),pharmacy,17 Orin Junction,
257,61b0ca15f6a0af5026000160,23.2082857,112.8295654,Fenglu,COVID CENTER 57,specialized center,05399 Becker Court,
258,61b0ca15f6a0af5026000161,39.8768811,-8.9140418,Passagem,Pharmacy Services Centre NHG (Blk 9),pharmacy,551 Marcy Parkway,
259,61b0ca16f6a0af5026000162,46.4979131,15.6702113,Rogoza,KK Outpatient Pharmacy,pharmacy,90209 Autumn Leaf Plaza,
260,61b0ca16f6a0af5026000163,30.9048784,75.8332947,Dolod,Russell Medical Center,hospital,143 Bluestem Center,8
261,61b0ca16f6a0af5026000164,9.0072301,125.2122777,Kibonsod,COVID CENTER 15,specialized center,71 3rd Lane,
262,61b0ca16f6a0af5026000165,31.5977,118.45323,Dongjiang Matoukou,Southeast Alabama Medical Center,hospital,5 Melby Street,1
263,61b0ca16f6a0af5026000166,48.1181855,38.4585264,Stizhkivs’ke,Bullock County Hospital,hospital,7 Barnett Hill,9
264,61b0ca16f6a0af5026000167,-15.66758,-72.534439,Viraco,East Alabama Medical Center,hospital,73 Graceland Point,8
265,61b0ca16f6a0af5026000168,40.7553689,-8.6455126,Monte,Clay County Hospital,hospital,8 Trailsway Pass,6
266,61b0ca16f6a0af5026000169,1.6054402,32.8084496,Amolatar,Lakeland Community Hospital,hospital,2 Lake View Alley,2
267,61b0ca16f6a0af502600016a,-19.3352322,30.1791357,Lalapanzi,Alexandra Hospital Retail Pharmacy,pharmacy,65 Randy Circle,
268,61b0ca16f6a0af502600016b,-7.3733703,108.2822389,Gunajaya,Tucson Medical Center,hospital,5 Corry Crossing,9
269,61b0ca16f6a0af502600016c,51.5487433,-1.7880953,Swindon,Pacific Pharmacy Pte Ltd,pharmacy,69 Dunning Court,
270,61b0ca16f6a0af502600016d,40.0158487,116.4551375,Laiguangying,PARKWAY EAST HOSPITAL PHARMACY,pharmacy,48 Trailsway Court,
